;Type;DHID;Name;Latitude;Longitude
386554;S;de:02000:52021;Hamburg, Parkplatz Dradenau;53,523935;9,903033
386167;S;de:02000:44017;Hamburg, Seestücken;53,449473;9,953863
383958;S;de:02000:11049;Hamburg, Domstraße;53,548214;9,994602
385475;S;de:02000:26022;Hamburg, Friedhof Bergedorf;53,478873;10,249981
384773;S;de:02000:23009;Hamburg, Alte Schule Reitbrook;53,468046;10,148812
383824;S;de:02000:11013;Hamburg, U Stephansplatz;53,558126;9,989054
386929;S;de:02000:60002;Hamburg, Ziesenißstraße;53,567576;10,074754
385022;S;de:02000:23093;Hamburg, Energie-Campus Bergedorf;53,477155;10,203794
388112;S;de:02000:65033;Hamburg, Moränenweg;53,610835;10,163686
389062;S;de:02000:72048;Hamburg, Trilluper Weg;53,707452;10,11006
385067;S;de:02000:24007;Hamburg, Curslack (Feuerwehr);53,450048;10,222039
388696;S;de:02000:71053;Hamburg, Ida-Ehre-Allee;53,624802;10,054806
387710;S;de:02000:63025;Hamburg, Helbingtwiete;53,587683;10,092888
387129;S;de:02000:61005;Hamburg, Moorfleeter Straße (Nord);53,536055;10,09842
388722;S;de:02000:71061;Hamburg, Friedhof Ohlsdorf (Kapelle 3);53,61779;10,045987
391086;S;de:02000:91031;Hamburg, Suhrenkamp;53,619232;10,01415
386526;S;de:02000:52010;Hamburg, Nippoldstraße (Ost);53,515249;9,969241
388577;S;de:02000:71019;Hamburg, Saselbekstraße;53,655984;10,134043
391267;S;de:02000:92034;Hamburg, Dreyerpfad;53,653501;10,006805
386863;S;de:02000:55018;Hamburg, Moorwerder Norderdeich (Ost);53,473681;10,0603
388915;S;de:02000:71905;Hamburg, Meiendorfer Weg;53,638676;10,155865
386942;S;de:02000:60005;Hamburg, Bf. Hasselbrook;53,565593;10,057301
384756;S;de:02000:23003;Hamburg, Schule Fünfhausen;53,448623;10,13334
383581;S;de:02000:10055;Hamburg, Normannenweg;53,551182;10,035561
385381;S;de:02000:25035;Hamburg, Sanmannreihe;53,497886;10,208134
384302;S;de:02000:20052;Hamburg, Moorfleet (Feuerwehr);53,512055;10,086659
387536;S;de:02000:62032;Hamburg, Brockdorffstraße;53,596468;10,152537
383646;S;de:02000:10801;Hamburg, Haus des KFZ-Gewerbes;53,54131;10,0363
389849;S;de:02000:81059;Hamburg, Richard-Dehmel-Straße;53,56273;9,798817
389842;S;de:02000:81056;Hamburg, Falkentaler Weg;53,559502;9,790984
384159;S;de:02000:19305;Hamburg, S Langenfelde;53,580092;9,93479
383562;S;de:02000:10049;Hamburg, U Lohmühlenstraße;53,5572;10,02018
384360;S;de:02000:21015;Hamburg, Rungedamm (Ost);53,493611;10,127006
387396;S;de:02000:61904;Hamburg, Billstedt;53,542253;10,107405
387583;S;de:02000:62047;Hamburg, Hans-Rubbert-Straße;53,56537;10,132627
390985;S;de:02000:91006;Hamburg, Orchideenstieg;53,602666;9,990231
385273;S;de:02000:24073;Hamburg, KZ-Gedenkstätte (Klinkerwerk);53,432401;10,229838
389619;S;de:02000:80952;Hamburg, Königstraße;53,547761;9,944109
389569;S;de:02000:80109;Hamburg, Pflegezentrum Lutherpark;53,572916;9,906326
387094;S;de:02000:60950;Hamburg, Hasselbrook;53,564926;10,05656
386309;S;de:02000:51001;Hamburg, Estebogen;53,530676;9,772033
385773;S;de:02000:41041;Hamburg, Fischbeker Holtweg;53,467413;9,859713
391041;S;de:02000:91017;Hamburg, Offakamp;53,598641;9,971528
383512;S;de:02000:10036;Hamburg, Gustav-Kunst-Straße;53,537547;10,059603
385767;S;de:02000:41039;Hamburg, Grundheide;53,464139;9,855175
387999;S;de:02000:64900;Hamburg, Oldenfelde;53,617594;10,128767
385619;S;de:02000:40215;Hamburg, Rotenhäuser Straße (Ost);53,506361;10,004126
388530;S;de:02000:71001;Hamburg, Eulenkrugstraße;53,646394;10,158662
386259;S;de:02000:50003;Hamburg, Rathaus Wilhelmsburg;53,499361;9,996682
386172;S;de:02000:44019;Hamburg, Eddelbüttelkamp;53,439217;9,965417
386899;S;de:02000:55033;Hamburg, Burgweide;53,486596;10,022823
385906;S;de:02000:42009;Hamburg, Gellersenweg;53,455004;9,947574
387658;S;de:02000:63011;Hamburg, Berner Chaussee;53,619075;10,080355
385116;S;de:02000:24023;Hamburg, Altengammer Löschplatz;53,428721;10,290726
386773;S;de:02000:54027;Hamburg, Hovestraße 44;53,522698;10,030417
389953;S;de:02000:81103;Hamburg, Rissener Busch (alt);53,58004;9,765097
386091;S;de:02000:43062;Hamburg, Grenzkehre;53,416616;9,984472
386170;S;de:02000:44018;Hamburg, Beutnerring (Kehre);53,443571;9,953671
387060;S;de:02000:60032;Hamburg, Kantstraße;53,569719;10,053011
